date,time,latitude,longitude,area,severity
2025-10-03,15:15:00,13.317462,77.130342,18200,Low
2025-10-03,15:16:00,13.317318,77.13031,28900,Medium
2025-10-03,15:17:00,13.317117,77.130285,60500,High
2025-10-03,15:18:00,13.317032,77.130247,72900,High
2025-10-03,15:19:00,13.31694,77.13024,34100,Medium
2025-10-03,15:20:00,13.316806,77.130201,15200,Low
2025-10-03,15:22:00,13.316506,77.13015,81500,High
2025-10-03,15:23:00,13.316362,77.130153,26500,Medium
2025-10-03,15:24:00,13.316194,77.130133,49500,Medium
2025-10-03,15:25:00,13.315992,77.130095,15800,Low
2025-10-03,15:26:00,13.315847,77.130072,72900,High
2025-10-04,16:20:00,13.318494,77.127849,25200,Medium
2025-10-04,16:20:35,13.318468,77.127988,46500,Medium
2025-10-04,16:21:10,13.318384,77.128241,78900,High
2025-10-04,16:21:45,13.318311,77.128434,15500,Low
2025-10-04,16:22:20,13.31804,77.129051,68200,High
2025-10-04,16:22:55,13.318201,77.128683,33700,Medium
2025-10-05,15:24:00,13.316609,77.12896,18450,Low
2025-10-05,15:24:32,13.316442,77.128864,28550,Medium
2025-10-05,15:25:04,13.316139,77.128778,52500,Medium
2025-10-05,15:25:36,13.315951,77.12866,73500,High
2025-10-05,15:26:08,13.31711,77.129166,46500,Medium
2025-10-05,15:26:40,13.317283,77.129237,81200,High
2025-10-05,15:27:12,13.317501,77.1293,25900,Medium
2025-10-05,15:27:44,13.317699,77.129425,91000,High
2025-10-05,15:28:16,13.315752,77.128516,15750,Low
2025-10-05,15:28:48,13.318004,77.129599,69400,High
2025-10-06,14:15:00,13.316946,77.127804,17200,Low
2025-10-06,14:15:35,13.316924,77.127912,23800,Medium
2025-10-06,14:16:10,13.316832,77.128156,60500,High
2025-10-06,14:16:45,13.316784,77.128377,74800,High
2025-10-06,14:17:20,13.316696,77.128643,19600,Low
2025-10-06,14:17:55,13.316604,77.128819,42100,Medium
2025-10-08,14:55:01,0.000000,0.000000,103284,High
2025-10-08,14:55:08,0.000000,0.000000,115022,High
2025-10-08,14:55:20,0.000000,0.000000,78153,High
2025-10-08,14:59:20,0.000000,0.000000,181125,High
2025-10-08,15:00:05,0.000000,0.000000,63291,High
2025-10-08,15:00:12,0.000000,0.000000,59964,High
2025-10-08,15:38:44,0.000000,0.000000,26931,High
2025-10-08,15:38:53,0.000000,0.000000,24066,High
2025-10-08,15:38:56,0.000000,0.000000,21700,High
2025-10-08,15:39:01,0.000000,0.000000,26200,High
2025-10-08,15:39:05,0.000000,0.000000,21594,High
2025-10-08,15:39:08,0.000000,0.000000,22500,High
2025-10-08,17:45:01,0.000000,0.000000,87556,High
2025-10-08,17:45:28,0.000000,0.000000,42752,High
2025-10-08,17:45:36,0.000000,0.000000,80364,High
2025-10-08,17:45:48,0.000000,0.000000,38150,High
2025-10-08,17:46:54,0.000000,0.000000,41328,High
2025-10-08,17:47:05,0.000000,0.000000,42772,High
2025-10-08,17:47:15,0.000000,0.000000,58656,High
2025-10-08,17:51:31,0.000000,0.000000,108747,High
2025-10-08,17:51:38,0.000000,0.000000,45500,High
2025-10-08,17:53:19,0.000000,0.000000,133760,High
2025-10-08,17:58:27,0.000000,0.000000,180383,High
2025-10-08,17:59:08,0.000000,0.000000,93333,High
2025-10-08,17:59:31,0.000000,0.000000,162792,High
2025-10-08,17:59:34,0.000000,0.000000,204480,High
2025-10-08,18:00:36,0.000000,0.000000,282048,High
2025-10-08,18:00:48,0.000000,0.000000,192045,High
2025-10-08,18:00:54,0.000000,0.000000,200552,High
2025-10-08,18:00:58,0.000000,0.000000,192924,High
2025-10-08,18:01:02,0.000000,0.000000,196236,High
2025-10-08,18:01:06,0.000000,0.000000,191776,High
2025-10-08,18:01:10,0.000000,0.000000,193640,High
2025-10-08,18:01:14,0.000000,0.000000,196824,High
2025-10-08,18:01:17,0.000000,0.000000,189471,High
2025-10-08,18:01:21,0.000000,0.000000,193866,High
2025-10-08,18:01:27,0.000000,0.000000,183080,High
2025-10-08,18:01:31,0.000000,0.000000,187052,High
2025-10-08,18:01:34,0.000000,0.000000,189367,High
2025-10-08,18:01:42,0.000000,0.000000,194464,High
2025-10-08,18:01:52,0.000000,0.000000,35802,High
2025-10-08,18:02:00,0.000000,0.000000,181764,High
2025-10-08,18:02:31,0.000000,0.000000,156510,High
2025-10-08,18:02:42,0.000000,0.000000,78540,High
2025-10-08,18:02:46,0.000000,0.000000,75348,High
2025-10-08,18:02:49,0.000000,0.000000,117834,High
2025-10-08,18:03:51,0.000000,0.000000,101220,High
2025-10-08,18:03:55,0.000000,0.000000,100456,High
2025-10-08,18:04:05,0.000000,0.000000,109044,High
2025-10-08,18:04:08,0.000000,0.000000,113047,High
2025-10-08,18:04:46,0.000000,0.000000,111135,High
2025-10-08,23:22:58,0.000000,0.000000,16974,High
2025-10-08,23:23:35,0.000000,0.000000,30876,High
2025-10-08,23:33:07,13.336216,77.126017,148302,High
2025-10-08,23:33:15,13.336071,77.126029,67600,High
2025-10-08,23:33:20,13.335977,77.126025,9568,High
2025-10-08,23:48:29,13.337205,77.126173,207929,High
2025-10-08,23:48:44,13.337209,77.126166,12183,High
2025-10-08,23:48:47,13.337209,77.126166,12276,High
2025-10-08,23:48:51,13.337209,77.126166,11931,High
2025-10-08,23:49:30,13.333870,77.129057,28012,High
2025-10-08,23:49:33,13.333870,77.129057,30960,High
2025-10-22,15:35:00,13.337268,77.126297,4047,High
2025-10-22,15:35:03,13.337248,77.126289,2632,Medium
2025-10-22,15:42:14,13.337136,77.126167,36792,High
2025-10-22,15:42:17,13.337118,77.126183,23349,High
2025-10-22,15:42:28,0.000000,0.000000,37248,High
2025-10-22,15:42:31,13.337062,77.126244,34176,High
2025-10-22,19:05:33,13.336195,77.126762,165984,High
2025-10-22,19:05:55,13.336205,77.126755,12954,High
2025-10-22,19:06:06,13.336207,77.126755,11745,High
2025-10-22,19:06:19,13.336209,77.126747,13940,High
2025-10-22,19:06:32,13.336212,77.126747,8636,High
2025-11-02,18:10:32,13.337275,77.126228,14195,High
2025-11-02,18:16:14,0.000000,0.000000,9514,High
2025-11-02,18:16:21,0.000000,0.000000,9177,High
2025-11-02,18:22:20,13.337201,77.126297,8442,High
2025-11-02,18:24:19,13.337164,77.126205,16744,High
2025-11-04,12:57:30,0.000000,0.000000,14508,High
2025-11-04,16:06:20,13.337132,77.126205,303212,High
